id,fecha_venta,producto,cantidad,precio_unitario
1,2024-01-05,Notebook,2,850000
2,2024-01-12,Mouse,10,12000
3,2024-01-20,Teclado,5,25000
4,2024-02-03,Monitor,3,180000
5,2024-02-15,Mouse,8,12000
6,2024-02-22,Notebook,1,850000
7,2024-03-02,Teclado,7,25000
8,2024-03-10,Auriculares,12,18000
9,2024-03-18,Monitor,2,180000
10,2024-04-01,Notebook,1,850000
11,2024-04-09,Mouse,15,12000
12,2024-04-21,Auriculares,10,18000
13,2024-05-05,Teclado,6,25000
14,2024-05-15,Monitor,4,180000
15,2024-05-28,Mouse,20,12000
